Voltage,Current
585.7302,4.28E-06
586.2345,4.29E-06
586.7363,4.29E-06
587.2373,4.30E-06
587.7376,4.30E-06
588.2394,4.31E-06
588.741,4.32E-06
589.2428,4.32E-06
589.7435,4.33E-06
590.2443,4.34E-06
590.7436,4.34E-06
591.2479,4.35E-06
591.7501,4.36E-06
592.2493,4.36E-06
592.7316,4.37E-06
593.2336,4.38E-06
593.7368,4.38E-06
594.2366,4.39E-06
594.7387,4.40E-06
595.2954,4.40E-06
595.7961,4.41E-06
596.2981,4.42E-06
596.7986,4.42E-06
597.3007,4.43E-06
597.7839,4.44E-06
598.2844,4.44E-06
598.7853,4.45E-06
599.2882,4.46E-06
599.7902,4.46E-06
600.2896,4.47E-06
600.7909,4.48E-06
601.2914,4.48E-06
601.7947,4.49E-06
602.2947,4.50E-06
602.796,4.50E-06
603.2983,4.51E-06
603.8,4.52E-06
604.3005,4.53E-06
604.8029,4.53E-06
605.3417,4.54E-06
605.8414,4.55E-06
606.3437,4.55E-06
606.8458,4.56E-06
607.3472,4.57E-06
607.8486,4.57E-06
608.3494,4.58E-06
608.8506,4.59E-06
609.3528,4.59E-06
609.851,4.60E-06
610.3356,4.61E-06
610.8368,4.62E-06
611.3379,4.62E-06
611.837,4.63E-06
612.3389,4.64E-06
612.8407,4.64E-06
613.3435,4.65E-06
613.843,4.66E-06
614.3453,4.66E-06
614.8448,4.67E-06
615.4016,4.68E-06
615.8853,4.69E-06
616.3871,4.69E-06
616.8898,4.70E-06
617.3881,4.71E-06
617.8908,4.72E-06
618.3937,4.72E-06
618.8913,4.73E-06
619.3943,4.74E-06
619.8973,4.74E-06
620.3949,4.75E-06
620.8979,4.76E-06
621.3998,4.77E-06
621.9,4.77E-06
622.4008,4.78E-06
622.903,4.79E-06
623.3866,4.79E-06
623.8868,4.80E-06
624.3871,4.81E-06
624.8883,4.82E-06
625.4471,4.82E-06
625.9479,4.83E-06
626.45,4.84E-06
626.9506,4.85E-06
627.4532,4.85E-06
627.9543,4.86E-06
628.4342,4.87E-06
628.9372,4.88E-06
629.4377,4.88E-06
629.9391,4.89E-06
630.44,4.90E-06
630.9415,4.91E-06
631.4417,4.91E-06
631.9437,4.92E-06
632.4464,4.93E-06
632.9471,4.94E-06
633.4477,4.94E-06
633.9496,4.95E-06
634.4496,4.96E-06
634.953,4.97E-06
635.4891,4.98E-06
635.9911,4.98E-06
636.4941,4.99E-06
636.992,5.00E-06
637.4935,5.01E-06
637.9948,5.02E-06
638.496,5.02E-06
638.9968,5.03E-06
639.4993,5.04E-06
639.9984,5.05E-06
640.5005,5.06E-06
640.9854,5.06E-06
641.4857,5.07E-06
