Applied_Voltage,Leakage_Current
335.1288,1.846208e-06
338.1736,1.871053e-06
341.1773,1.895713e-06
344.1673,1.920301e-06
347.1746,1.9452e-06
350.1635,1.970108e-06
353.2254,1.995921e-06
356.2159,2.021124e-06
359.2234,2.046723e-06
362.2315,2.072442e-06
365.2202,2.098117e-06
368.264,2.124438e-06
371.2718,2.150709e-06
374.278,2.177097e-06
377.2679,2.203516e-06
380.2772,2.230025e-06
383.3216,2.257206e-06
386.3284,2.284252e-06
389.3192,2.311301e-06
392.3283,2.338666e-06
395.3156,2.366017e-06
398.382,2.394117e-06
401.3705,2.421759e-06
404.3798,2.449729e-06
407.386,2.47802e-06
410.3759,2.506219e-06
413.4233,2.535129e-06
416.4254,2.5637e-06
419.4334,2.592517e-06
422.4224,2.621397e-06
425.4307,2.650652e-06
428.4766,2.680452e-06
431.4832,2.710047e-06
434.475,2.739617e-06
437.4834,2.769481e-06
440.4725,2.799374e-06
443.5354,2.830321e-06
446.526,2.860535e-06
449.5332,2.891268e-06
452.5407,2.922156e-06
455.5312,2.952988e-06
458.5754,2.984632e-06
461.5816,3.016035e-06
464.5901,3.047749e-06
467.5772,3.079234e-06
470.5864,3.111164e-06
473.631,3.143778e-06
476.6375,3.176267e-06
479.6289,3.208673e-06
482.6356,3.241504e-06
485.6441,3.274402e-06
488.6868,3.307916e-06
491.6728,3.341024e-06
494.6802,3.374714e-06
497.6881,3.408559e-06
500.6772,3.44239e-06
503.7222,3.476987e-06
506.7281,3.511311e-06
509.735,3.545951e-06
512.726,3.580682e-06
515.7321,3.615766e-06
518.7756,3.651533e-06
521.7838,3.68704e-06
524.774,3.722484e-06
527.7814,3.758372e-06
530.7892,3.794635e-06
533.834,3.831599e-06
536.8242,3.868001e-06
539.8329,3.904843e-06
542.8409,3.942026e-06
545.8312,3.979096e-06
548.8768,4.017265e-06
551.8854,4.055179e-06
554.8914,4.093241e-06
557.883,4.131317e-06
560.8912,4.169914e-06
563.9357,4.209228e-06
566.9419,4.248432e-06
569.9316,4.287592e-06
572.9398,4.327327e-06
575.9463,4.367282e-06
578.9936,4.407982e-06
581.9795,4.448124e-06
584.9877,4.489148e-06
587.9987,4.530359e-06
590.9894,4.571538e-06
594.0341,4.613787e-06
597.0422,4.655845e-06
600.0497,4.698271e-06
4.015897,9.83022e-09
7.02268,1.845188e-08
10.0668,2.655141e-08
13.05317,3.43846e-08
16.0622,4.216585e-08
19.07224,4.9427e-08
22.05918,5.655044e-08
25.12156,6.526372e-08
28.11235,7.341396e-08
31.11866,8.171052e-08
34.10773,8.996309e-08
37.11055,9.83902e-08
40.15746,1.068599e-07
43.16391,1.170225e-07
46.153,1.28225e-07
49.16068,1.402362e-07
52.16856,1.524361e-07
55.21344,1.647556e-07
58.21902,1.723884e-07
61.20842,1.893402e-07
64.21497,2.025288e-07
67.20382,2.153907e-07
70.26573,2.287128e-07
73.2551,2.416001e-07
76.26326,2.547942e-07
79.25284,2.682756e-07
82.2616,2.8195e-07
85.30702,2.956466e-07
88.31416,3.096247e-07
91.30453,3.235659e-07
94.31422,3.37451e-07
97.32166,3.517428e-07
100.3669,3.659127e-07
103.3749,3.802556e-07
106.364,3.950221e-07
109.3718,4.090992e-07
112.3577,4.239212e-07
115.4219,4.393263e-07
118.4119,4.546564e-07
121.4199,4.700615e-07
124.4101,4.854392e-07
127.4155,5.01651e-07
130.4636,5.176726e-07
133.4719,5.340926e-07
136.46,5.501719e-07
139.4673,5.666463e-07
142.477,5.844271e-07
145.5206,6.01617e-07
148.5286,6.186328e-07
151.5198,6.377895e-07
154.5273,6.54448e-07
157.5159,6.726252e-07
160.5797,6.954463e-07
163.568,7.109235e-07
166.5754,7.325474e-07
169.5657,7.517217e-07
172.5731,7.707308e-07
175.6181,7.943009e-07
178.6258,8.123856e-07
181.6146,8.321051e-07
184.6217,8.552214e-07
187.6255,8.738827e-07
190.6705,8.961231e-07
193.6785,9.176665e-07
196.6655,9.355928e-07
199.6736,9.58241e-07
202.6622,9.794225e-07
205.7264,1.00048e-06
208.7164,1.021553e-06
211.7233,1.042756e-06
214.7031,1.049991e-06
216.9267,1.050004e-06
220.7558,1.054079e-06
223.7634,1.075002e-06
226.7528,1.095129e-06
229.7607,1.115505e-06
232.7698,1.135949e-06
235.8141,1.156791e-06
238.8221,1.177479e-06
241.8118,1.1982e-06
244.8207,1.219205e-06
247.8105,1.240295e-06
250.8747,1.26213e-06
253.8638,1.283332e-06
256.8726,1.30485e-06
259.8604,1.32642e-06
262.8651,1.348345e-06
265.911,1.37061e-06
268.9187,1.392735e-06
271.9279,1.41503e-06
274.9182,1.43736e-06
277.9243,1.459832e-06
280.9703,1.482921e-06
283.9784,1.505838e-06
286.9676,1.528707e-06
289.9764,1.551754e-06
292.9644,1.574874e-06
296.028,1.598711e-06
299.0178,1.622142e-06
302.0268,1.645886e-06
305.0173,1.669506e-06
308.079,1.693859e-06
311.0688,1.717707e-06
314.0758,1.741951e-06
317.0819,1.76638e-06
320.0729,1.79083e-06
323.1188,1.815778e-06
326.1253,1.840441e-06
329.1325,1.865443e-06
332.1226,1.890454e-06
335.1285,1.915661e-06
338.1742,1.941466e-06
341.1777,1.967022e-06
344.1659,1.992493e-06
347.1735,2.018276e-06
350.1631,2.044181e-06
353.2248,2.070927e-06
356.215,2.097154e-06
359.2236,2.123714e-06
362.2311,2.150381e-06
365.2202,2.176999e-06
368.2634,2.204368e-06
371.2715,2.231513e-06
374.2786,2.258936e-06
377.2682,2.286301e-06
380.2762,2.313841e-06
383.3198,2.342051e-06
386.3275,2.370159e-06
389.3183,2.39813e-06
392.3266,2.426456e-06
395.3164,2.454806e-06
398.3817,2.484088e-06
401.3705,2.512667e-06
404.3782,2.541798e-06
407.386,2.571106e-06
410.3756,2.600351e-06
413.4214,2.630203e-06
416.4247,2.659809e-06
419.433,2.689852e-06
422.4235,2.719976e-06
425.4315,2.750293e-06
428.4767,2.781251e-06
431.4853,2.811938e-06
434.4735,2.842476e-06
437.4818,2.873528e-06
440.4706,2.904681e-06
443.5342,2.936828e-06
446.5256,2.968181e-06
449.532,2.999928e-06
452.5378,3.031897e-06
455.5302,3.064067e-06
458.5743,3.096806e-06
461.5837,3.12937e-06
464.59,3.162162e-06
467.5774,3.194972e-06
470.5858,3.228115e-06
473.6317,3.262018e-06
476.6376,3.295633e-06
479.6272,3.32913e-06
482.6364,3.363118e-06
485.6433,3.397334e-06
488.6864,3.432172e-06
491.6707,3.466524e-06
494.6802,3.501444e-06
497.6864,3.536594e-06
500.6755,3.571521e-06
503.7197,3.607425e-06
506.7277,3.643148e-06
509.7359,3.679206e-06
512.7259,3.715227e-06
515.7334,3.751594e-06
518.7778,3.788622e-06
521.7832,3.82541e-06
524.774,3.86231e-06
527.7805,3.899652e-06
